gameId|platformId|lastUpdate
1727|4|E'2020-11-29 19:18:57'
1727|7|E'2020-11-29 19:18:57'
1727|3|E'2020-11-29 19:18:57'
1728|7|E'2020-11-29 19:18:57'
1729|11|E'2020-11-29 19:18:57'
1729|5|E'2020-11-29 19:18:57'
1729|7|E'2020-11-29 19:18:57'
1729|3|E'2020-11-29 19:18:57'
1729|6|E'2020-11-29 19:18:57'
1730|7|E'2020-11-29 19:18:57'
1731|7|E'2020-11-29 19:18:57'
1732|5|E'2020-11-29 19:18:57'
1732|7|E'2020-11-29 19:18:57'
1732|3|E'2020-11-29 19:18:57'
1732|6|E'2020-11-29 19:18:57'
1733|11|E'2020-11-29 19:18:57'
1733|1|E'2020-11-29 19:18:57'
1733|5|E'2020-11-29 19:18:57'
1733|8|E'2020-11-29 19:18:57'
1733|7|E'2020-11-29 19:18:57'
1733|3|E'2020-11-29 19:18:57'
1733|9|E'2020-11-29 19:18:57'
1734|7|E'2020-11-29 19:18:57'
1735|7|E'2020-11-29 19:18:57'
1735|3|E'2020-11-29 19:18:57'
1736|5|E'2020-11-29 19:18:57'
1736|7|E'2020-11-29 19:18:57'
1736|3|E'2020-11-29 19:18:57'
1736|8|E'2020-11-29 19:18:57'
1737|4|E'2020-11-29 19:18:57'
1737|7|E'2020-11-29 19:18:57'
1737|3|E'2020-11-29 19:18:57'
1738|4|E'2020-11-29 19:18:57'
1738|7|E'2020-11-29 19:18:57'
1738|3|E'2020-11-29 19:18:57'
1739|7|E'2020-11-29 19:18:57'
1740|7|E'2020-11-29 19:18:57'
1740|3|E'2020-11-29 19:18:57'
1741|4|E'2020-11-29 19:18:57'
1741|5|E'2020-11-29 19:18:57'
1741|7|E'2020-11-29 19:18:57'
1741|3|E'2020-11-29 19:18:57'
1741|6|E'2020-11-29 19:18:57'
1742|5|E'2020-11-29 19:18:57'
1742|7|E'2020-11-29 19:18:57'
1742|3|E'2020-11-29 19:18:57'
1742|6|E'2020-11-29 19:18:57'
1743|5|E'2020-11-29 19:18:57'
1743|7|E'2020-11-29 19:18:57'
1743|3|E'2020-11-29 19:18:57'
1744|7|E'2020-11-29 19:18:57'
1745|7|E'2020-11-29 19:18:57'
1745|9|E'2020-11-29 19:18:57'
1746|4|E'2020-11-29 19:18:57'
1746|7|E'2020-11-29 19:18:57'
1746|3|E'2020-11-29 19:18:57'
1747|6|E'2020-11-29 19:18:57'
1747|7|E'2020-11-29 19:18:57'
1747|3|E'2020-11-29 19:18:57'
1748|4|E'2020-11-29 19:18:57'
1748|7|E'2020-11-29 19:18:57'
1748|3|E'2020-11-29 19:18:57'
1749|7|E'2020-11-29 19:18:57'
1749|9|E'2020-11-29 19:18:57'
1750|12|E'2020-11-29 19:18:57'
1750|5|E'2020-11-29 19:18:57'
1750|7|E'2020-11-29 19:18:57'
1750|3|E'2020-11-29 19:18:57'
1751|7|E'2020-11-29 19:18:57'
1751|3|E'2020-11-29 19:18:57'
1752|7|E'2020-11-29 19:18:57'
1753|5|E'2020-11-29 19:18:57'
1753|7|E'2020-11-29 19:18:57'
1753|3|E'2020-11-29 19:18:57'
1753|6|E'2020-11-29 19:18:57'
1754|7|E'2020-11-29 19:18:57'
1755|5|E'2020-11-29 19:18:57'
1755|7|E'2020-11-29 19:18:57'
1755|3|E'2020-11-29 19:18:57'
1755|6|E'2020-11-29 19:18:57'
1756|7|E'2020-11-29 19:18:57'
1757|5|E'2020-11-29 19:18:57'
